min,A,Phi,OPC_brut_r,OPC_core_r,hash,windows_open_ratio
1,50.08,0.8,50.08,48.08,cb175cceca2e,1.0
2,50.17,0.8,50.17,48.16,ccb68185f071,1.0
3,50.25,0.8,50.25,48.23,3fe6402721e3,1.0
4,50.33,0.799,50.33,48.31,6cc7a03d4389,1.0
5,50.42,0.799,50.42,48.39,c9b76770dccd,1.0
6,50.5,0.799,50.5,48.47,79ab8e455b53,1.0
7,50.58,0.799,50.58,48.55,6620203fb1bc,1.0
8,50.67,0.799,50.67,48.63,449cb64e3012,1.0
9,50.75,0.799,50.75,48.7,20db858fc35c,1.0
10,50.83,0.798,50.83,48.78,e70e548fa03a,1.0
11,50.92,0.798,50.92,48.86,3908a1673bca,1.0
12,51.0,0.798,51.0,48.94,a83b26bfbe7e,1.0
13,51.08,0.798,51.08,49.02,78289c0efc83,1.0
14,51.17,0.798,51.17,49.1,fcf34b6859d5,1.0
15,51.25,0.798,51.25,49.17,29f9ec0b9647,1.0
16,51.33,0.797,51.33,49.25,4b1311815ffb,1.0
17,51.42,0.797,51.42,49.33,ab69bb49ae55,1.0
18,51.5,0.797,51.5,49.41,b6c36a61d6c2,1.0
19,51.58,0.797,51.58,49.49,5091357989e6,1.0
20,51.67,0.797,51.67,49.57,fa9f678c8dec,1.0
21,51.75,0.797,51.75,49.64,298443c1741e,1.0
22,51.83,0.796,51.83,49.72,310ca93764f9,1.0
23,51.92,0.796,51.92,49.8,4980a94e6175,1.0
24,52.0,0.796,52.0,49.88,7e382eaa8565,1.0
25,52.08,0.796,52.08,49.96,3434a87ce52c,1.0
26,52.17,0.796,52.17,50.03,faa2cbb914cc,1.0
27,52.25,0.796,52.25,50.11,311817be5ee3,1.0
28,52.33,0.795,52.33,50.19,b0ab667a5cf4,1.0
29,52.42,0.795,52.42,50.27,cdf7eda0a05b,1.0
30,52.5,0.795,52.5,42.47,4c71a2db6a83,0.5
31,52.58,0.795,52.58,42.54,eb860ddfd78b,0.5
32,52.67,0.795,52.67,42.6,881feea212e8,0.5
33,52.75,0.795,52.75,42.67,5bb7fe0dd6de,0.5
34,52.83,0.794,52.83,42.74,47468bde3158,0.5
35,52.92,0.794,52.92,42.8,cb09631921a9,0.5
36,53.0,0.794,53.0,42.87,083037f954ee,0.5
37,53.08,0.794,53.08,42.93,f87fa8fe1afd,0.5
38,53.17,0.794,53.17,43.0,42c0a393824e,0.5
39,53.25,0.794,53.25,43.06,021c822d1b1d,0.5
40,53.33,0.793,53.33,43.13,460f8c7a3b3a,0.5
41,53.42,0.793,53.42,43.19,2c52c3c065f7,0.5
42,53.5,0.793,53.5,43.26,959bd13dc025,0.5
43,53.58,0.793,53.58,43.33,4461e5369a46,0.5
44,53.67,0.793,53.67,43.39,e7a42772971d,0.5
45,53.75,0.793,53.75,35.39,2e6bd4b3bd14,0.0
46,53.83,0.792,53.83,35.45,0ad1a93e5b4d,0.0
47,53.92,0.792,53.92,35.5,5488f9b75ae5,0.0
48,54.0,0.792,54.0,35.55,0dc6d8e8770d,0.0
49,54.08,0.792,54.08,35.61,af43f314e232,0.0
50,54.17,0.792,54.17,35.66,3759485719f5,0.0
51,54.25,0.792,54.25,35.71,a9b9aba865d9,0.0
52,54.33,0.791,54.33,35.77,b2610a52c9ae,0.0
53,54.42,0.791,54.42,35.82,78654b7d3026,0.0
54,54.5,0.791,54.5,35.87,eddad84104b0,0.0
55,54.58,0.791,54.58,35.92,64801e0c3db8,0.0
56,54.67,0.791,54.67,35.98,193c398b89d7,0.0
57,54.75,0.791,54.75,36.03,37f8284cfe93,0.0
58,54.83,0.79,54.83,36.08,51ea2a1e5783,0.0
59,54.92,0.79,54.92,36.14,91e40e5886ff,0.0
60,55.0,0.79,55.0,36.19,e536a9148f98,0.0
