min,A,Phi,OPC_brut_r,OPC_core_r,hash
1,50.08,0.8,50.08,48.07,b51aa0914249
2,50.17,0.799,50.17,48.15,68b412680807
3,50.25,0.799,50.25,48.22,becc856f265c
4,50.33,0.798,50.33,48.3,a0cf582d4936
5,50.42,0.798,50.42,48.37,d0661bbb617d
6,50.5,0.797,50.5,48.45,a5ad52f0188a
7,50.58,0.797,50.58,48.52,d5d4b4bc95d9
8,50.67,0.796,50.67,48.6,07fcd3f80417
9,50.75,0.796,50.75,48.67,eeac110532a8
10,50.83,0.795,50.83,48.75,c3b9892e30e5
11,50.92,0.795,50.92,48.82,bec3ec44f11b
12,51.0,0.794,51.0,48.9,e40b34f8af4d
13,51.08,0.794,51.08,48.97,aec0fbea758a
14,51.17,0.793,51.17,49.05,fd3a936631e5
15,51.25,0.793,51.25,49.12,47731c04c091
16,51.33,0.792,51.33,49.2,8b3dc50add8c
17,51.42,0.792,51.42,49.27,73648389dd36
18,51.5,0.791,51.5,49.35,833aa063fc5a
19,51.58,0.791,51.58,49.42,c2f173b8cd77
20,51.67,0.79,51.67,49.5,9ded663e927a
21,51.75,0.79,51.75,49.57,22dd68220126
22,51.83,0.789,51.83,49.65,f9f6c5a3656e
23,51.92,0.789,51.92,49.72,530356299444
24,52.0,0.788,52.0,49.8,401e99dc15a5
25,52.08,0.788,52.08,49.87,83a2e38deab5
26,52.17,0.787,52.17,49.94,53ad340ce446
27,52.25,0.787,52.25,50.02,6ec409936f15
28,52.33,0.786,52.33,50.09,88801352f81f
29,52.42,0.786,52.42,50.17,99bda4392f3f
30,52.5,0.785,52.5,42.37,1211767a2e0f
